learning_rate,val_MAE,elapsed_s,model,dataset,target,horizon,seed,selected_learning_rate
0.001,29242.077418489538,19.36710656899959,itransformer,ecl,aggregate_load,168,44,0.0005
0.0005,28972.381234378274,21.418634980000206,itransformer,ecl,aggregate_load,168,44,0.0005
