learning_rate,val_MAE,elapsed_s,model,dataset,target,horizon,seed,selected_learning_rate
0.001,3.708323452631259,12.082355348999954,itransformer,etth1,HUFL,168,46,0.0005
0.0005,3.6442177644704152,16.835978121000153,itransformer,etth1,HUFL,168,46,0.0005
