learning_rate,val_MAE,elapsed_s,model,dataset,target,horizon,seed,selected_learning_rate
0.001,3.6185839314380694,8.233848064000085,itransformer,etth1,HUFL,96,42,0.0005
0.0005,3.373682817278641,10.608515707000151,itransformer,etth1,HUFL,96,42,0.0005
