learning_rate,val_MAE,elapsed_s,model,dataset,target,horizon,seed,selected_learning_rate
0.001,3.6978031168426653,19.178509717999987,patchtst,etth1,HUFL,168,43,0.0005
0.0005,3.624937058009401,31.06966785199984,patchtst,etth1,HUFL,168,43,0.0005
