learning_rate,val_MAE,elapsed_s,model,dataset,target,horizon,seed,selected_learning_rate
0.001,21662.31008892991,48.37881250999999,patchtst,ecl,aggregate_load,24,44,0.0005
0.0005,21171.34082444804,44.78200383700005,patchtst,ecl,aggregate_load,24,44,0.0005
